date,region_code,cases_pos_total,cases_deceased,Id,region_name,region_latitude,region_longitude,population,country,cases_pos_new
2020-02-24,BW,0,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,
2020-02-25,BW,1,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,1.0
2020-02-26,BW,3,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,2.0
2020-02-27,BW,6,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,3.0
2020-02-28,BW,10,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,4.0
2020-02-29,BW,14,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,4.0
2020-03-01,BW,15,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,1.0
2020-03-02,BW,19,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,4.0
2020-03-03,BW,26,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,7.0
2020-03-04,BW,44,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,18.0
2020-03-05,BW,73,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,29.0
2020-03-06,BW,96,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,23.0
2020-03-07,BW,170,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,74.0
2020-03-08,BW,182,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,12.0
2020-03-09,BW,204,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,22.0
2020-03-10,BW,237,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,33.0
2020-03-11,BW,277,0.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,40.0
2020-03-12,BW,454,1.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,177.0
2020-03-13,BW,454,1.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,0.0
2020-03-14,BW,569,2.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,115.0
2020-03-15,BW,827,3.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,258.0
2020-03-16,BW,1105,3.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,278.0
2020-03-17,BW,1479,2.0,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533,DE,374.0
