Date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
09/03/2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
12/03/2020,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
13/03/2020,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
14/03/2020,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
15/03/2020,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
16/03/2020,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0
17/03/2020,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0
18/03/2020,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0
19/03/2020,6,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0
20/03/2020,10,12,0,0,0,0,1,0,0,6,1,0,0,0,1,0
