,date,country,region_code,region_name,region_latitude,region_longitude,cases_pos_hospitalized_non_icu,cases_pos_hospitalized_icu,cases_pos_hospitalized,cases_pos_in_home_isolation,cases_pos_total,cases_pos_new,cases_recovered,cases_deceased,tests_total,cases_total
0,2020-02-24 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,5,0.0
520,2020-02-24 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,12,4,16,16,32,32,0,1,2200,33.0
494,2020-02-24 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,7,0.0
468,2020-02-24 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0.0
312,2020-02-24 18:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,3,0.0
442,2020-02-24 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,0,0,0,0,0,0,0,0,140,0.0
390,2020-02-24 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,0.0
364,2020-02-24 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0.0
338,2020-02-24 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,3,0,0,141,3.0
260,2020-02-24 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0.0
416,2020-02-24 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,0,0,0,0,0,0,0,0,5,0.0
208,2020-02-24 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,76,19,95,71,166,166,0,6,1463,172.0
234,2020-02-24 18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0,0,16,0.0
286,2020-02-24 18:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,0,0,0,0,0,0,0,0,1,0.0
52,2020-02-24 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,1,0.0
78,2020-02-24 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0,0,10,0.0
26,2020-02-24 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0.0
130,2020-02-24 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,58,0.0
156,2020-02-24 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,2,1,0,124,3.0
182,2020-02-24 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,0,0,0,0,0,0,0,0,1,0.0
104,2020-02-24 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.341720800000001,10,2,12,6,18,18,0,0,148,18.0
261,2020-02-25 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0.0
521,2020-02-25 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,12,7,19,23,42,10,0,1,3780,43.0
495,2020-02-25 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,7,0.0
469,2020-02-25 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,8,0.0
313,2020-02-25 18:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,3,0.0
443,2020-02-25 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,2,0,0,296,2.0
391,2020-02-25 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,0.0
365,2020-02-25 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0.0
339,2020-02-25 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,141,3.0
235,2020-02-25 18:00:00,ITA,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,0,0,21,0.0
417,2020-02-25 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,2,2,3,3,0,0,5,3.0
183,2020-02-25 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,1,0,1,0,1,1,0,0,39,1.0
27,2020-02-25 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0.0
287,2020-02-25 18:00:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,1,0,0,1,1.0
53,2020-02-25 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,2,0.0
79,2020-02-25 18:00:00,ITA,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,0,0,10,0.0
1,2020-02-25 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,5,0.0
105,2020-02-25 18:00:00,ITA,8,Emilia Romagna,44.49436681,11.341720800000001,15,2,17,9,26,8,0,0,391,26.0
131,2020-02-25 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,89,0.0
157,2020-02-25 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,0,1,0,124,3.0
209,2020-02-25 18:00:00,ITA,3,Lombardia,45.46679409,9.190347404,79,25,104,127,231,65,0,9,3700,240.0
262,2020-02-26 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0.0
496,2020-02-26 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,7,0.0
470,2020-02-26 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,8,0.0
314,2020-02-26 18:00:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,3,0.0
444,2020-02-26 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,363,2.0
418,2020-02-26 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,2,3,0,0,0,5,3.0
392,2020-02-26 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,0.0
366,2020-02-26 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0.0
340,2020-02-26 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,156,3.0
522,2020-02-26 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,16,8,24,45,69,27,0,2,4900,71.0
236,2020-02-26 18:00:00,ITA,11,Marche,43.61675973,13.5188753,1,0,1,0,1,1,0,0,28,1.0
184,2020-02-26 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,6,0,6,5,11,10,0,0,66,11.0
158,2020-02-26 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,3,0,124,5.0
132,2020-02-26 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,114,0.0
